id,name,album,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,duration,key,mode,tempo,time_sig
7yCw7WbWOIRYe7z2aRjAaA,"III. Telegraph Ave. (""Oakland"" by Lloyd)","Because The Internet",0.150000,0.516000,0.718000,0.016300,0.167000,-8.571000,0.257000,0.588000,210680,5,0,129.856995,4
22jnEneSABg4vRCR1vow7F,"Violet","Violet",0.748000,0.688000,0.425000,0.005480,0.101000,-8.134000,0.027000,0.179000,144000,4,0,129.975006,4
25YvGDl2zSE0pH8jrMZ6aY,"Therapy","American Teen",0.891000,0.707000,0.484000,0.003440,0.256000,-6.579000,0.048100,0.430000,257960,9,0,92.987999,4
67kXYrMTQbS7MVbXyGyxHm,"Angels","American Teen",0.959000,0.472000,0.265000,0.000499,0.100000,-10.059000,0.035600,0.204000,170680,6,0,111.557999,4
1TPLsNVlofwX1txcE9gZZF,"We Find Love","Freudian",0.853000,0.510000,0.363000,0.000000,0.109000,-8.635000,0.030400,0.426000,254919,5,1,78.000000,4
0KyzXQhY2yzcb1FYCHkZc2,"Blessed","Freudian",0.824000,0.448000,0.263000,0.000002,0.106000,-11.980000,0.037300,0.451000,241371,11,1,109.889000,1
6HK4YGOpZr1ost68QP3ul0,"Ride Slow","There's Really A Wolf",0.632000,0.737000,0.429000,0.000000,0.104000,-10.252000,0.078500,0.147000,185400,4,0,99.955002,4
1a9GMZk48Pznvyop6ZXfW6,"Speculate","The Everlasting Wave",0.701000,0.593000,0.250000,0.000001,0.421000,-10.152000,0.034900,0.449000,210280,11,0,119.892998,4
1uverlfbbG8InEPioAwB8y,"Feel","Into",0.524000,0.409000,0.259000,0.001760,0.387000,-14.543000,0.040600,0.186000,232502,6,0,131.947998,4
2jGjNCH6Op0BqBHPc4Rd8d,"Lovely","A.M. Paradox",0.575000,0.385000,0.473000,0.000029,0.130000,-8.656000,0.051900,0.057500,291098,8,0,143.613998,3
4S7YHmlWwfwArgd8LfSPud,"L$D","AT.LONG.LAST.A$AP",0.193000,0.598000,0.252000,0.138000,0.099200,-15.086000,0.064700,0.035200,238307,2,1,120.059998,4
7DfFc7a6Rwfi3YQMRbDMau,"Thinkin Bout You","channel ORANGE",0.410000,0.716000,0.350000,0.001340,0.092700,-11.094000,0.053700,0.178000,200747,0,1,129.841995,4
34izzOmykADkGT27pUjUvJ,"Cold Blooded","American Teen",0.777000,0.710000,0.405000,0.000163,0.111000,-10.864000,0.051900,0.402000,207960,9,0,103.040001,4
10lgpgAGhQBv0WqcrzGM7D,"Feel The Love","KIDS SEE GHOSTS",0.339000,0.585000,0.597000,0.040400,0.195000,-7.499000,0.037000,0.227000,324674,0,1,100.051003,4
2z3htsNRuhDN923ITatc56,"Marvins Room","Take Care (Deluxe)",0.646000,0.492000,0.260000,0.001780,0.070500,-17.341000,0.092100,0.312000,347227,9,0,111.518997,5
7HnkUNPrhRurdGEm9nRYFH,"Death & Taxes","Pilgrim's Paradise",0.803000,0.448000,0.328000,0.000093,0.347000,-11.132000,0.035100,0.209000,305081,7,1,113.941002,3
7GKiBHjFfvPRNqqOuRYqLB,"Summertime","Summertime '06",0.049300,0.470000,0.600000,0.685000,0.099500,-7.888000,0.067900,0.068500,259213,11,1,124.533997,4
2Ch7LmS7r2Gy2kc64wv3Bz,"Die For You","Starboy",0.111000,0.586000,0.525000,0.000000,0.134000,-7.163000,0.061500,0.508000,260253,1,0,133.628998,4
6N3qHjcwly8ZuhE4bPYJAX,"Get You (feat. Kali Uchis)","Get You - Single",0.426000,0.659000,0.295000,0.000069,0.079500,-8.528000,0.032200,0.360000,277297,11,0,74.037003,4
7LVHVU3tWfcxj5aiPFEW4Q,"Fix You","X & Y",0.163000,0.209000,0.418000,0.001950,0.113000,-8.740000,0.033800,0.123000,295533,3,1,138.264999,4
5JvTl9PGOapS3D7BIGjlSk,"Angel","Beauty Behind The Madness",0.104000,0.626000,0.579000,0.000000,0.133000,-7.558000,0.042900,0.327000,377347,3,0,127.973000,4
7Cu2COdH93MnuireuKNiS3,"Streetcar","Pilgrim's Paradise",0.721000,0.410000,0.298000,0.000000,0.158000,-11.796000,0.047300,0.142000,246972,3,1,109.651001,3
0IabpxMpUV7waD7U4uDIMJ,"Impossible","Rodeo (Deluxe)",0.398000,0.507000,0.464000,0.000026,0.603000,-8.531000,0.171000,0.277000,242507,3,0,147.983994,4
5LnTtD68FgrRJ3PirOJHCp,"Easy Yoke","Majestic Casual - Chapter 2",0.693000,0.524000,0.724000,0.527000,0.109000,-7.581000,0.083800,0.316000,283050,0,0,100.033997,4
7pgdKNreH79L8dxCZACCDZ,"Japanese Denim","Japanese Denim",0.090500,0.707000,0.238000,0.000002,0.084200,-8.818000,0.037900,0.345000,270847,3,1,124.155998,3
7fOwfp4u4UD9REy0SOXIGO,"Little Rowboat","Pilgrim's Paradise",0.774000,0.596000,0.191000,0.000003,0.062200,-12.623000,0.032600,0.374000,225254,2,0,75.786003,4
0qLt7pQhm8LDxFgI0YXdlY,"Heavenly Father","Cilvia Demo",0.212000,0.608000,0.676000,0.000000,0.347000,-7.560000,0.248000,0.570000,260632,1,1,80.939003,4
5f6esnDQcBiFAm8iMfkw12,"Silkk da Shocka (feat. Syd)","The Sun's Tirade",0.577000,0.590000,0.602000,0.000007,0.643000,-8.195000,0.413000,0.720000,166087,8,1,121.986000,4
5203pcq3cNteJuOVhIEnt6,"So Sick","In My Own Words",0.254000,0.572000,0.572000,0.000000,0.191000,-8.324000,0.301000,0.610000,207187,6,1,94.897003,4
5GUYJTQap5F3RDQiCOJhrS,"Self Control","Blonde",0.765000,0.572000,0.209000,0.000000,0.356000,-10.413000,0.031300,0.446000,249668,8,1,80.069000,4
2ZWlPOoWh0626oTaHrnl2a,"Ivy","Blonde",0.782000,0.567000,0.388000,0.000309,0.248000,-9.579000,0.038400,0.452000,249191,9,0,116.362000,4
3xKsf9qdS1CyvXSMEid6g8,"Pink + White","Blonde",0.670000,0.544000,0.552000,0.000046,0.415000,-7.450000,0.099100,0.554000,184516,9,1,159.738007,3
7m9OqQk4RVRkw9JJdeAw96,"Jocelyn Flores","17",0.469000,0.872000,0.391000,0.000004,0.297000,-9.144000,0.242000,0.437000,119133,0,0,134.020996,4
202lm9YX5WmAac83tOGlVn,"Don't Watch Me Cry","Lost & Found",0.887000,0.559000,0.157000,0.000000,0.107000,-10.132000,0.041400,0.348000,190430,1,1,130.876999,4
6GMblDhPDP420uc77vmqTc,"Won't Live Here","Won't Live Here",0.904000,0.315000,0.227000,0.000000,0.377000,-13.270000,0.031300,0.199000,312115,5,0,140.070999,4
39KG4kom3enSx4GTThuDGt,"Coaster","American Teen",0.935000,0.441000,0.219000,0.000000,0.115000,-14.586000,0.041900,0.244000,199120,8,1,94.021004,4
5NijSs5dAwaIybq1GaRTIe,"Poison","Poison",0.711000,0.689000,0.394000,0.000905,0.085900,-10.102000,0.065000,0.382000,212992,2,0,117.488998,3
42QRyJd5x6e2TFR1S41g2p,"Too Fast","Too Fast",0.316000,0.395000,0.330000,0.000019,0.268000,-10.924000,0.040800,0.102000,308006,4,0,98.813004,3
1Mza2sr6tPhy6jjI3HB9fW,"Hold Me Down","Freudian",0.628000,0.463000,0.427000,0.000565,0.091100,-9.799000,0.054900,0.231000,231268,8,0,116.058998,4
4j3GWI86JvSaF0BLdmgcfF,"Summertime Magic","Summer Pack",0.012900,0.760000,0.579000,0.003510,0.106000,-7.374000,0.056900,0.125000,213600,0,1,100.010002,4
1USFYZrDt86UdqZxuXYHUG,"Summer in November","November",0.354000,0.540000,0.588000,0.000003,0.118000,-7.719000,0.089900,0.478000,229880,2,0,82.831001,4
2edZase3fgTjQMWKPPar5N,"Phenomenon","Analogue",0.862000,0.626000,0.309000,0.738000,0.111000,-15.459000,0.034500,0.120000,181248,0,1,96.188004,4
6NMtzpDQBTOfJwMzgMX0zl,"SKELETONS","ASTROWORLD",0.001460,0.460000,0.686000,0.000000,0.375000,-5.948000,0.036700,0.252000,145588,0,0,148.054001,4
2ZRo7axmMPeSVUvDbGkJah,"Hope","?",0.661000,0.592000,0.457000,0.000331,0.146000,-6.081000,0.060300,0.225000,110886,9,0,146.039993,4
